filename,width,height,area,aspect_ratio,longest_side,shortest_side
1438.jpg,76,76,5776,1.0,76,76
1426.jpg,76,76,5776,1.0,76,76
62.jpg,99,64,6336,1.547,99,64
1447.jpg,97,68,6596,1.426,97,68
1339.jpg,97,68,6596,1.426,97,68
1311.jpg,97,68,6596,1.426,97,68
976.jpg,97,68,6596,1.426,97,68
1333.jpg,97,68,6596,1.426,97,68
100.jpg,58,121,7018,0.479,121,58
675.jpg,89,80,7120,1.113,89,80
796.jpg,104,69,7176,1.507,104,69
329.jpg,98,74,7252,1.324,98,74
993.jpg,97,75,7275,1.293,97,75
1377.jpg,97,75,7275,1.293,97,75
1019.jpg,97,75,7275,1.293,97,75
1424.jpg,97,75,7275,1.293,97,75
1320.jpg,101,73,7373,1.384,101,73
1653.jpg,97,77,7469,1.26,97,77
1322.jpg,114,66,7524,1.727,114,66
1616.jpg,97,79,7663,1.228,97,79
774.jpg,113,68,7684,1.662,113,68
699.jpg,100,77,7700,1.299,100,77
668.jpg,100,77,7700,1.299,100,77
1394.jpg,96,81,7776,1.185,96,81
1459.jpg,96,81,7776,1.185,96,81
1354.jpg,96,81,7776,1.185,96,81
504.jpg,104,75,7800,1.387,104,75
1038.jpg,105,77,8085,1.364,105,77
1370.jpg,107,76,8132,1.408,107,76
581.jpg,84,97,8148,0.866,97,84
1404.jpg,128,64,8192,2.0,128,64
760.jpg,114,72,8208,1.583,114,72
920.jpg,123,67,8241,1.836,123,67
1436.jpg,106,78,8268,1.359,106,78
794.jpg,124,67,8308,1.851,124,67
684.jpg,85,98,8330,0.867,98,85
1334.jpg,91,92,8372,0.989,92,91
1542.jpg,115,73,8395,1.575,115,73
1405.jpg,105,80,8400,1.312,105,80
1010.jpg,100,85,8500,1.176,100,85
391.jpg,111,77,8547,1.442,111,77
253.jpg,114,75,8550,1.52,114,75
1390.jpg,116,74,8584,1.568,116,74
1001.jpg,99,87,8613,1.138,99,87
1000.jpg,107,81,8667,1.321,107,81
822.jpg,98,89,8722,1.101,98,89
919.jpg,120,73,8760,1.644,120,73
1437.jpg,113,78,8814,1.449,113,78
1392.jpg,113,78,8814,1.449,113,78
1398.jpg,113,78,8814,1.449,113,78
820.jpg,115,77,8855,1.494,115,77
918.jpg,102,87,8874,1.172,102,87
1577.jpg,118,76,8968,1.553,118,76
1381.jpg,89,101,8989,0.881,101,89
512.jpg,117,77,9009,1.519,117,77
1312.jpg,97,93,9021,1.043,97,93
1414.jpg,122,74,9028,1.649,122,74
263.jpg,113,80,9040,1.413,113,80
1344.jpg,103,88,9064,1.17,103,88
678.jpg,101,90,9090,1.122,101,90
1483.jpg,125,73,9125,1.712,125,73
1546.jpg,107,86,9202,1.244,107,86
1420.jpg,125,74,9250,1.689,125,74
308.jpg,119,78,9282,1.526,119,78
1022.jpg,115,81,9315,1.42,115,81
1314.jpg,115,81,9315,1.42,115,81
745.jpg,118,79,9322,1.494,118,79
791.jpg,126,74,9324,1.703,126,74
483.jpg,122,77,9394,1.584,122,77
839.jpg,129,73,9417,1.767,129,73
102.jpg,118,80,9440,1.475,118,80
1440.jpg,128,74,9472,1.73,128,74
971.jpg,134,71,9514,1.887,134,71
528.jpg,107,89,9523,1.202,107,89
1456.jpg,127,75,9525,1.693,127,75
1357.jpg,127,75,9525,1.693,127,75
1421.jpg,103,93,9579,1.108,103,93
963.jpg,107,90,9630,1.189,107,90
754.jpg,127,76,9652,1.671,127,76
1340.jpg,111,87,9657,1.276,111,87
1391.jpg,111,87,9657,1.276,111,87
89.jpg,129,75,9675,1.72,129,75
964.jpg,110,88,9680,1.25,110,88
1564.jpg,114,85,9690,1.341,114,85
80.jpg,99,98,9702,1.01,99,98
1512.jpg,126,77,9702,1.636,126,77
1519.jpg,123,79,9717,1.557,123,79
1557.jpg,113,86,9718,1.314,113,86
815.jpg,112,87,9744,1.287,112,87
637.jpg,144,68,9792,2.118,144,68
106.jpg,126,78,9828,1.615,126,78
1570.jpg,126,78,9828,1.615,126,78
943.jpg,107,92,9844,1.163,107,92
57.jpg,132,75,9900,1.76,132,75
812.jpg,110,90,9900,1.222,110,90
572.jpg,118,84,9912,1.405,118,84
961.jpg,85,117,9945,0.726,117,85
1342.jpg,112,89,9968,1.258,112,89
706.jpg,98,102,9996,0.961,102,98
978.jpg,125,80,10000,1.562,125,80
